gay,1,noun,common,common,singular,n/a,n/a
gerente,9,noun,common,common,singular,n/a,n/a
guardia,1,noun,common,common,singular,n/a,n/a
guionista,1,noun,common,common,singular,n/a,n/a
guitarrista,1,noun,common,common,singular,n/a,n/a
guía,2,noun,common,common,singular,n/a,n/a
ignorante,1,noun,common,common,singular,n/a,n/a
imbécil,1,noun,common,common,singular,n/a,n/a
intérprete,4,noun,common,common,singular,n/a,n/a
jefe,9,noun,common,common,singular,n/a,n/a
joven,1,noun,common,common,singular,n/a,n/a
juez,2,noun,common,common,singular,n/a,n/a
lateral,1,noun,common,common,singular,n/a,n/a
machista,1,noun,common,common,singular,n/a,n/a
mails,1,noun,common,common,singular,n/a,n/a
mar,4,noun,common,common,singular,n/a,n/a
mar_e,1,noun,common,common,singular,n/a,n/a
margen,6,noun,common,common,singular,n/a,n/a
mañana,15,noun,common,common,singular,n/a,n/a
militante,1,noun,common,common,singular,n/a,n/a
modelo,16,noun,common,common,singular,n/a,n/a
monarca,1,noun,common,common,singular,n/a,n/a
mártir,1,noun,common,common,singular,n/a,n/a
médico,4,noun,common,common,singular,n/a,n/a
orden,5,noun,common,common,singular,n/a,n/a
oyente,1,noun,common,common,singular,n/a,n/a
paciente,1,noun,common,common,singular,n/a,n/a
palé,1,noun,common,common,singular,n/a,n/a
parte,103,noun,common,common,singular,n/a,n/a
periodista,2,noun,common,common,singular,n/a,n/a
pez,2,noun,common,common,singular,n/a,n/a
plasta,1,noun,common,common,singular,n/a,n/a
policía,1,noun,common,common,singular,n/a,n/a
pri,1,noun,common,common,singular,n/a,n/a
protagonista,1,noun,common,common,singular,n/a,n/a
psicoanalista,3,noun,common,common,singular,n/a,n/a
psicoterapeuta,5,noun,common,common,singular,n/a,n/a
psiquiatra,6,noun,common,common,singular,n/a,n/a
quíntuple,1,noun,common,common,singular,n/a,n/a
radio,15,noun,common,common,singular,n/a,n/a
reserva,1,noun,common,common,singular,n/a,n/a
responsable,7,noun,common,common,singular,n/a,n/a
robustianita,1,noun,common,common,singular,n/a,n/a
rosa,3,noun,common,common,singular,n/a,n/a
rri,1,noun,common,common,singular,n/a,n/a
sobresaliente,1,noun,common,common,singular,n/a,n/a
súper,1,noun,common,common,singular,n/a,n/a
taxista,1,noun,common,common,singular,n/a,n/a
testigo,1,noun,common,common,singular,n/a,n/a
titular,2,noun,common,common,singular,n/a,n/a
tracatra,1,noun,common,common,singular,n/a,n/a
travesti,1,noun,common,common,singular,n/a,n/a
turista,2,noun,common,common,singular,n/a,n/a
vertiente,1,noun,common,common,singular,n/a,n/a
vietnamita,1,noun,common,common,singular,n/a,n/a
vil_i,1,noun,common,common,singular,n/a,n/a
antítesis,1,noun,common,feminine,invariable,n/a,n/a
crisis,5,noun,common,feminine,invariable,n/a,n/a
hipótesis,1,noun,common,feminine,invariable,n/a,n/a
ll,1,noun,common,feminine,invariable,n/a,n/a
ll_y,1,noun,common,feminine,invariable,n/a,n/a
ny,1,noun,common,feminine,invariable,n/a,n/a
q,7,noun,common,feminine,invariable,n/a,n/a
q_u,1,noun,common,feminine,invariable,n/a,n/a
r_a,3,noun,common,feminine,invariable,n/a,n/a
r_ba,1,noun,common,feminine,invariable,n/a,n/a
r_c,1,noun,common,feminine,invariable,n/a,n/a
r_m,2,noun,common,feminine,invariable,n/a,n/a
r_s,2,noun,common,feminine,invariable,n/a,n/a
r_t,1,noun,common,feminine,invariable,n/a,n/a
r_u,2,noun,common,feminine,invariable,n/a,n/a
r_v,1,noun,common,feminine,invariable,n/a,n/a
síntesis,3,noun,common,feminine,invariable,n/a,n/a
tesis,6,noun,common,feminine,invariable,n/a,n/a
abra,1,noun,common,feminine,plural,n/a,n/a
abstracción,1,noun,common,feminine,plural,n/a,n/a
academia,1,noun,common,feminine,plural,n/a,n/a
aceituna,4,noun,common,feminine,plural,n/a,n/a
actitud,1,noun,common,feminine,plural,n/a,n/a
actividad,1,noun,common,feminine,plural,n/a,n/a
actuación,1,noun,common,feminine,plural,n/a,n/a
afiliación,1,noun,common,feminine,plural,n/a,n/a
agencia,3,noun,common,feminine,plural,n/a,n/a
agua,1,noun,common,feminine,plural,n/a,n/a
albondiguitas,1,noun,common,feminine,plural,n/a,n/a
albóndiga,11,noun,common,feminine,plural,n/a,n/a
alcachofa,24,noun,common,feminine,plural,n/a,n/a
almeja,1,noun,common,feminine,plural,n/a,n/a
alternancia,1,noun,common,feminine,plural,n/a,n/a
altura,1,noun,common,feminine,plural,n/a,n/a
alubia,1,noun,common,feminine,plural,n/a,n/a
alumno,1,noun,common,feminine,plural,n/a,n/a
analogía,1,noun,common,feminine,plural,n/a,n/a
angula,2,noun,common,feminine,plural,n/a,n/a
anilla,2,noun,common,feminine,plural,n/a,n/a
anoréxicas,1,noun,common,feminine,plural,n/a,n/a
antesala,1,noun,common,feminine,plural,n/a,n/a
anécdota,2,noun,common,feminine,plural,n/a,n/a
aplicación,1,noun,common,feminine,plural,n/a,n/a
aportación,1,noun,common,feminine,plural,n/a,n/a
arca,1,noun,common,feminine,plural,n/a,n/a
arruga,1,noun,common,feminine,plural,n/a,n/a
asignatura,3,noun,common,feminine,plural,n/a,n/a
asociación,12,noun,common,feminine,plural,n/a,n/a
aula,4,noun,common,feminine,plural,n/a,n/a
b,1,noun,common,feminine,plural,n/a,n/a
bacteria,1,noun,common,feminine,plural,n/a,n/a
baja,3,noun,common,feminine,plural,n/a,n/a
bandera,1,noun,common,feminine,plural,n/a,n/a
barbaridad,3,noun,common,feminine,plural,n/a,n/a
batida,1,noun,common,feminine,plural,n/a,n/a
beca,1,noun,common,feminine,plural,n/a,n/a
berenjena,8,noun,common,feminine,plural,n/a,n/a
bibliografía,2,noun,common,feminine,plural,n/a,n/a
biblioteca,15,noun,common,feminine,plural,n/a,n/a
bicicleta,1,noun,common,feminine,plural,n/a,n/a
boda,3,noun,common,feminine,plural,n/a,n/a
bolsa,1,noun,common,feminine,plural,n/a,n/a
borda,1,noun,common,feminine,plural,n/a,n/a
borra,3,noun,common,feminine,plural,n/a,n/a
botella,1,noun,common,feminine,plural,n/a,n/a
brigada,1,noun,common,feminine,plural,n/a,n/a
burbuja,1,noun,common,feminine,plural,n/a,n/a
burrada,2,noun,common,feminine,plural,n/a,n/a
busca,3,noun,common,feminine,plural,n/a,n/a
cabecera,1,noun,common,feminine,plural,n/a,n/a
cabezada,2,noun,common,feminine,plural,n/a,n/a
cadena,2,noun,common,feminine,plural,n/a,n/a
cainita,1,noun,common,feminine,plural,n/a,n/a
caja,3,noun,common,feminine,plural,n/a,n/a
cala,1,noun,common,feminine,plural,n/a,n/a
calidad,1,noun,common,feminine,plural,n/a,n/a
calle,1,noun,common,feminine,plural,n/a,n/a
camiseta,3,noun,common,feminine,plural,n/a,n/a
canción,14,noun,common,feminine,plural,n/a,n/a
cantidad,2,noun,common,feminine,plural,n/a,n/a
capa,1,noun,common,feminine,plural,n/a,n/a
característica,2,noun,common,feminine,plural,n/a,n/a
carne,1,noun,common,feminine,plural,n/a,n/a
carpeta,4,noun,common,feminine,plural,n/a,n/a
carrera,4,noun,common,feminine,plural,n/a,n/a
carta,4,noun,common,feminine,plural,n/a,n/a
casa,6,noun,common,feminine,plural,n/a,n/a
causa,1,noun,common,feminine,plural,n/a,n/a
cazuela,1,noun,common,feminine,plural,n/a,n/a
cebolla,7,noun,common,feminine,plural,n/a,n/a
cena,1,noun,common,feminine,plural,n/a,n/a
chico,10,noun,common,feminine,plural,n/a,n/a
chino,2,noun,common,feminine,plural,n/a,n/a
chiquitín,1,noun,common,feminine,plural,n/a,n/a
chirla,3,noun,common,feminine,plural,n/a,n/a
churrusquitas,1,noun,common,feminine,plural,n/a,n/a
cianobacterias,1,noun,common,feminine,plural,n/a,n/a
cibelinas,1,noun,common,feminine,plural,n/a,n/a
ciencia,2,noun,common,feminine,plural,n/a,n/a
cintura,1,noun,common,feminine,plural,n/a,n/a
circunstancia,4,noun,common,feminine,plural,n/a,n/a
ciudad,2,noun,common,feminine,plural,n/a,n/a
clase,14,noun,common,feminine,plural,n/a,n/a
clava,1,noun,common,feminine,plural,n/a,n/a
coca-cola,1,noun,common,feminine,plural,n/a,n/a
col,2,noun,common,feminine,plural,n/a,n/a
cola,1,noun,common,feminine,plural,n/a,n/a
colaboración,2,noun,common,feminine,plural,n/a,n/a
colección,2,noun,common,feminine,plural,n/a,n/a
columna,3,noun,common,feminine,plural,n/a,n/a
comillas,1,noun,common,feminine,plural,n/a,n/a
compañía,1,noun,common,feminine,plural,n/a,n/a
compensación,1,noun,common,feminine,plural,n/a,n/a
complicación,1,noun,common,feminine,plural,n/a,n/a
complicidad,1,noun,common,feminine,plural,n/a,n/a
compra,6,noun,common,feminine,plural,n/a,n/a
comunicación,1,noun,common,feminine,plural,n/a,n/a
comunidad,2,noun,common,feminine,plural,n/a,n/a
concesión,2,noun,common,feminine,plural,n/a,n/a
conclusión,2,noun,common,feminine,plural,n/a,n/a
condición,6,noun,common,feminine,plural,n/a,n/a
conexión,2,noun,common,feminine,plural,n/a,n/a
conferencia,1,noun,common,feminine,plural,n/a,n/a
connotación,1,noun,common,feminine,plural,n/a,n/a
consecuencia,6,noun,common,feminine,plural,n/a,n/a
construcción,1,noun,common,feminine,plural,n/a,n/a
consultor,1,noun,common,feminine,plural,n/a,n/a
conversación,2,noun,common,feminine,plural,n/a,n/a
copa,1,noun,common,feminine,plural,n/a,n/a
copia,3,noun,common,feminine,plural,n/a,n/a
corrección,1,noun,common,feminine,plural,n/a,n/a
corta,9,noun,common,feminine,plural,n/a,n/a
cosa,196,noun,common,feminine,plural,n/a,n/a
cosita,2,noun,common,feminine,plural,n/a,n/a
criba,2,noun,common,feminine,plural,n/a,n/a
croqueta,13,noun,common,feminine,plural,n/a,n/a
cualidad,1,noun,common,feminine,plural,n/a,n/a
cuchara,1,noun,common,feminine,plural,n/a,n/a
cucharada,4,noun,common,feminine,plural,n/a,n/a
cucharilla,1,noun,common,feminine,plural,n/a,n/a
cuenta,3,noun,common,feminine,plural,n/a,n/a
cuerda,1,noun,common,feminine,plural,n/a,n/a
cuestión,5,noun,common,feminine,plural,n/a,n/a
cultura,1,noun,common,feminine,plural,n/a,n/a
cáscara,2,noun,common,feminine,plural,n/a,n/a
d,1,noun,common,feminine,plural,n/a,n/a
decena,1,noun,common,feminine,plural,n/a,n/a
decisión,9,noun,common,feminine,plural,n/a,n/a
deja,6,noun,common,feminine,plural,n/a,n/a
delegación,2,noun,common,feminine,plural,n/a,n/a
delicia,2,noun,common,feminine,plural,n/a,n/a
dentellada,1,noun,common,feminine,plural,n/a,n/a
derecha,10,noun,common,feminine,plural,n/a,n/a
descripción,1,noun,common,feminine,plural,n/a,n/a
desviación,1,noun,common,feminine,plural,n/a,n/a
diapositiva,2,noun,common,feminine,plural,n/a,n/a
diferencia,5,noun,common,feminine,plural,n/a,n/a
dificultad,2,noun,common,feminine,plural,n/a,n/a
diplomatura,1,noun,common,feminine,plural,n/a,n/a
dirección,1,noun,common,feminine,plural,n/a,n/a
disciplina,1,noun,common,feminine,plural,n/a,n/a
distribuidor,1,noun,common,feminine,plural,n/a,n/a
dotación,1,noun,common,feminine,plural,n/a,n/a
duda,1,noun,common,feminine,plural,n/a,n/a
dueño,1,noun,common,feminine,plural,n/a,n/a
década,1,noun,common,feminine,plural,n/a,n/a
echada,1,noun,common,feminine,plural,n/a,n/a
ecuación,1,noun,common,feminine,plural,n/a,n/a
edad,3,noun,common,feminine,plural,n/a,n/a
edición,7,noun,common,feminine,plural,n/a,n/a
elección,3,noun,common,feminine,plural,n/a,n/a
emisora,1,noun,common,feminine,plural,n/a,n/a
empanada,1,noun,common,feminine,plural,n/a,n/a
empresa,17,noun,common,feminine,plural,n/a,n/a
enciclopedia,2,noun,common,feminine,plural,n/a,n/a
encuadernación,3,noun,common,feminine,plural,n/a,n/a
endorfinas,1,noun,common,feminine,plural,n/a,n/a
entrada,1,noun,common,feminine,plural,n/a,n/a
envidia,1,noun,common,feminine,plural,n/a,n/a
era,1,noun,common,feminine,plural,n/a,n/a
